trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
153.0	529.7133784628982	fix	2.0		60	attractiveness	130	2.0	1	-2.95	833.2860241630121	0.5167506230318395
154.0	530.23012908593	face	0.0		147	attractiveness	101	2.0	1		833.802774786044	1.2334618839713585
154.0	531.4635909699014	rating	1.0		80	attractiveness	101	2.0	1		835.0362366700153	0.675081923864127
154.0	532.1386728937655	fix	2.0		60	attractiveness	101	2.0	1	0.6399999999999997	835.7113185938795	0.5167545471672383
155.0	532.6554274409327	face	0.0		147	attractiveness	141	2.0	1		836.2280731410467	1.2334962956165327
155.0	533.8889237365493	rating	1.0		52	attractiveness	141	2.0	1		837.4615694366632	0.44167860006155024
155.0	534.3306023366108	fix	2.0		60	attractiveness	141	2.0	1	-1.7200000000000002	837.9032480367248	0.5167500193188062
156.0	534.8473523559296	face	0.0		147	attractiveness	005	2.0	1		838.4199980560436	1.233477882367879
156.0	536.0808302382975	rating	1.0		176	attractiveness	005	2.0	1		839.6534759384115	1.4751689792901743
156.0	537.5559992175877	fix	2.0		60	attractiveness	005	2.0	1	-3.89	841.1286449177016	0.5167430766186953
157.0	538.0727422942064	face	0.0		147	attractiveness	024	2.0	1		841.6453879943203	1.2334685248147252
157.0	539.3062108190211	rating	1.0		195	attractiveness	024	2.0	1		842.8788565191351	1.6335675941309091
157.0	540.939778413152	fix	2.0		60	attractiveness	024	2.0	1	-3.86	844.512424113266	0.5167071556907104
158.0	541.4564855688427	face	0.0		147	attractiveness	042	2.0	1		845.0291312689567	1.2334639969667478
158.0	542.6899495658095	rating	1.0		50	attractiveness	042	2.0	1		846.2625952659234	0.4250478140756968
158.0	543.1149973798852	fix	2.0		60	attractiveness	042	2.0	1	-1.4	846.6876430799991	0.5167530378839729
159.0	543.6317504177691	face	0.0		147	attractiveness	082	2.0	1		847.2043961178831	1.2334636951104585
159.0	544.8652141128796	rating	1.0		41	attractiveness	082	2.0	1		848.4378598129936	0.3500434069705989
159.0	545.2152575198502	fix	2.0		60	attractiveness	082	2.0	1	1.0300000000000002	848.7879032199642	0.500062484303271
