238.3383 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-27.jpg'
238.3801 	DATA 	Keypress: t
239.0801 	DATA 	Keypress: t
239.7801 	DATA 	Keypress: t
240.4801 	DATA 	Keypress: t
241.1801 	DATA 	Keypress: t
241.8801 	DATA 	Keypress: t
242.5800 	DATA 	Keypress: t
242.7382 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
242.7382 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-116.jpg'
243.2801 	DATA 	Keypress: t
243.9800 	DATA 	Keypress: t
244.6801 	DATA 	Keypress: t
245.1465 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
245.1465 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-131.jpg'
245.3800 	DATA 	Keypress: t
246.0799 	DATA 	Keypress: t
246.7799 	DATA 	Keypress: t
247.4799 	DATA 	Keypress: t
247.5380 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
247.5380 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-122.jpg'
248.1798 	DATA 	Keypress: t
248.8799 	DATA 	Keypress: t
249.5798 	DATA 	Keypress: t
249.9463 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
249.9463 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-46.jpg'
250.2798 	DATA 	Keypress: t
250.9797 	DATA 	Keypress: t
251.6798 	DATA 	Keypress: t
252.3797 	DATA 	Keypress: t
253.0797 	DATA 	Keypress: t
253.3379 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
253.3379 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-129.jpg'
253.7797 	DATA 	Keypress: t
254.4797 	DATA 	Keypress: t
255.1796 	DATA 	Keypress: t
255.8797 	DATA 	Keypress: t
256.5797 	DATA 	Keypress: t
257.2796 	DATA 	Keypress: t
